timestamp_us,up,down,left,right
28904349,1,0,0,0
35195211,0,0,0,1
37422850,1,0,0,0
41572259,0,0,1,0
44371368,1,0,0,0
47303796,0,0,0,0
48669364,0,1,0,0
53495586,0,0,0,0
54225258,1,0,0,0
57293981,0,0,0,0
58098261,0,0,0,1
62093259,0,0,0,0
62377469,1,0,0,0
64147507,0,0,0,1
65485333,1,0,0,0
71694909,0,0,0,0
72236591,0,0,0,1
81227517,1,0,0,0
90341472,0,0,0,1
91059491,1,0,0,0
92204802,0,0,1,0
92485441,1,0,0,0
98225183,0,0,0,1
99556897,1,0,0,0
105687168,0,0,0,1
112256572,1,0,0,0
116042910,0,0,0,0
117258323,0,1,0,0
122874316,0,0,0,0
123303257,0,0,1,0
124018491,1,0,0,0
126269484,0,0,1,0
126806764,1,0,0,0
129642476,0,0,0,1
130147074,1,0,0,0
134256830,0,0,0,1
135571763,1,0,0,0
136708203,0,0,0,1
141741822,0,1,0,0
147242531,0,0,1,0
148571781,0,0,0,0
150312212,0,1,0,0
152801038,0,0,0,0
153525669,0,0,0,1
154538237,0,0,0,0
155127376,0,1,0,0
160632801,0,0,0,0
161300444,0,0,0,1
162976435,1,0,0,0
163628490,0,0,0,1
164856509,1,0,0,0
171628312,0,0,0,0
174333418,1,0,0,0
180826168,0,0,0,1
193602791,0,0,0,0
194522418,0,0,1,0
195766911,1,0,0,0
198300779,0,0,1,0
215826363,0,0,0,0
216495011,1,0,0,0
222281822,0,0,0,0
222899872,0,1,0,0
231824827,0,0,1,0
234338892,0,0,0,0
234923100,1,0,0,0
236995740,0,0,0,1
237613109,0,0,1,0
238243082,1,0,0,0
239419507,1,0,0,0
240265049,0,0,1,0
243135832,0,0,0,1
247940757,0,0,0,1
248789407,1,0,0,0
252233350,0,0,0,1
261441764,0,0,0,1
275677942,1,0,0,0
277032807,0,0,0,0
277724050,0,0,1,0
278168504,1,0,0,0
279687040,0,0,1,0
281414364,0,1,0,0
282215798,0,0,1,0
295234826,0,1,0,0
300949852,0,0,0,0
305530280,0,0,0,0
307093647,1,0,0,0
313878847,0,0,1,0
314799849,1,0,0,0
326935792,0,0,0,0
328475354,0,0,0,1
336356811,0,0,0,0
346055789,0,0,0,0
353868063,0,0,0,1
356296858,1,0,0,0
357540031,1,0,0,0
360916803,0,0,0,1
362147821,1,0,0,0
365874148,0,0,0,1
375247848,0,0,0,1
377174814,1,0,0,0
378526954,0,0,1,0
393353238,1,0,0,0
395411206,0,0,0,0
395926344,0,0,1,0
398064276,0,0,0,0
399498816,1,0,0,0
400763101,1,0,0,0
406560802,0,0,0,1
408074275,1,0,0,0
409221536,0,0,0,0
