timestamp_us,up,down,left,right
133212208,1,0,0,0
135647332,0,0,0,1
136346837,1,0,0,0
139646419,0,0,0,1
140667864,1,0,0,0
144388487,0,0,0,1
145891175,1,0,0,0
146807885,0,1,0,0
147616874,0,0,1,0
148655974,1,0,0,0
153451255,0,0,0,1
154575865,1,0,0,0
157958311,0,0,1,0
162821338,1,0,0,0
167171809,0,0,0,1
168251408,1,0,0,0
170242259,0,0,1,0
171780325,1,0,0,0
172911310,0,0,0,1
173829248,1,0,0,0
177912792,0,0,0,1
179842219,1,0,0,0
183110828,0,0,0,0
183948028,0,1,0,0
185503829,0,0,1,0
189890262,1,0,0,0
195337935,0,0,0,1
197373145,0,0,0,0
