timestamp_us,up,down,left,right
74033061,1,0,0,0
78106334,0,0,0,0
78656193,0,0,0,1
79775253,0,0,0,0
80177676,1,0,0,0
82128324,0,0,1,0
83269901,1,0,0,0
84739023,0,0,0,1
86343498,1,0,0,0
90003859,0,0,1,0
92489037,1,0,0,0
95632256,0,0,1,0
97275325,1,0,0,0
98297372,0,0,0,1
99528509,1,0,0,0
100740356,0,1,0,0
103678314,0,0,0,1
104433595,0,1,0,0
105783337,1,0,0,0
106792118,0,0,0,1
107925276,1,0,0,0
110482969,0,0,0,1
116615599,1,0,0,0
118269794,0,0,0,1
118875156,1,0,0,0
119314120,0,0,1,0
119896644,1,0,0,0
120763111,0,0,0,1
121317199,1,0,0,0
125637770,0,0,1,0
126136515,1,0,0,0
127655297,0,0,0,0
