timestamp_us,up,down,left,right
68979658,1,0,0,0
73236147,0,0,0,1
74643834,1,0,0,0
76861811,0,0,1,0
79554835,1,0,0,0
82073622,0,0,0,1
83082824,1,0,0,0
83973846,0,0,0,1
84464071,1,0,0,0
86109011,0,0,0,1
86949329,1,0,0,0
91529426,0,0,0,1
93034820,1,0,0,0
95319792,0,0,1,0
96099826,1,0,0,0
99659282,0,0,1,0
100780393,1,0,0,0
102575809,0,0,1,0
103516473,1,0,0,0
106485229,0,0,1,0
113256790,0,0,0,0
115056307,0,1,0,0
115879554,0,0,0,1
117031827,0,1,0,0
118348260,0,0,0,1
119109367,0,1,0,0
120493163,0,0,0,0
121737506,0,1,0,0
122364905,0,0,0,1
123765862,0,1,0,0
127249247,0,0,0,1
128683802,0,1,0,0
132047792,1,0,0,0
136258186,0,0,0,0
137157811,0,0,1,0
138573253,0,0,0,0
